rank,title,author,rating,ratings_count,score,votes,book_url,page
1804.0,Ariends - Première Partie : la Citadelle Argentee,François Dubs,5.0,65,400,4,https://www.goodreads.com/book/show/94275931-ariends---premi-re-partie,19
80.0,Girl With Two Names,Patrick Guy Daniels,5.0,48,8786,88,https://www.goodreads.com/book/show/247523429-girl-with-two-names,1
1044.0,The Hollow Vow,Dr John Pierre Craig,5.0,12,700,7,https://www.goodreads.com/book/show/246498742-the-hollow-vow,11
1484.0,The Gynecologist's Daughter,Richard Enns,4.97,409,500,5,https://www.goodreads.com/book/show/234510233-the-gynecologist-s-daughter,15
95.0,Murder In The Blue,P.N. Johnson,4.93,85,6932,70,https://www.goodreads.com/book/show/250641196-murder-in-the-blue,1
227.0,"The Shaft: A Supernatural Thriller (The Global Calling, #1)",Scott B Delaney,4.85,165,2679,27,https://www.goodreads.com/book/show/58581309-the-shaft,3
1044.0,Pushing Up Daisies (Ivy Hill Flower Shop Mystery Series: A Cozy Mystery of Blooms and Dooms Book 2),Steven T. Duff,4.83,12,700,7,https://www.goodreads.com/book/show/247937108-pushing-up-daisies,11
153.0,Kornelia,Paloma Estrada,4.81,74,3895,39,https://www.goodreads.com/book/show/239100106-kornelia,2
1233.0,River Walk Murder: A Nick Fischer Novel,G.D. Obermiller,4.8,234,599,6,https://www.goodreads.com/book/show/235006254-river-walk-murder,13
1804.0,A Ghostly Trickster (Ghostly Adventures Book 3),Carla Solomon,4.78,23,400,4,https://www.goodreads.com/book/show/253825409-a-ghostly-trickster,19
