rank,title,author,rating,ratings_count,score,votes,book_url,page
1.0,And Then There Were None,Agatha Christie,4.27,1706322,75541,765,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,1
2.0,Gone Girl,Gillian Flynn,4.15,3551945,74921,778,https://www.goodreads.com/book/show/19288043-gone-girl,1
3.0,A Story of Yesterday,Sergio Cobo,4.49,23950,72045,721,https://www.goodreads.com/book/show/58913358-a-story-of-yesterday,1
4.0,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,4225869,67402,682,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,1
5.0,Shutter Island,Dennis Lehane,4.14,239018,61833,645,https://www.goodreads.com/book/show/21686.Shutter_Island,1
6.0,My Sister's Keeper,Jodi Picoult,4.11,1291035,56739,573,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper,1
7.0,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.94,2581268,51348,527,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,1
8.0,"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.18,3523760,51206,541,https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo,1
9.0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,3768072,48259,494,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,1
10.0,Fight Club,Chuck Palahniuk,4.18,663290,43987,456,https://www.goodreads.com/book/show/36236124-fight-club,1
