rank,title,author,rating,ratings_count,score,votes,book_url,page
62.0,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,11788516,14491,157,https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,1
12.0,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.36,10261354,38462,397,https://www.goodreads.com/book/show/2767052-the-hunger-games,1
774.0,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.68,7501685,944,13,https://www.goodreads.com/book/show/41865.Twilight,8
574.0,To Kill a Mockingbird,Harper Lee,4.26,7111423,1213,16,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,6
315.0,The Great Gatsby,F. Scott Fitzgerald,3.93,6131653,1990,26,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,4
173.0,The Fault in Our Stars,John Green,4.12,5875615,3595,41,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,2
21.0,1984,George Orwell,4.21,5748684,32961,354,https://www.goodreads.com/book/show/61439040-1984,1
11.0,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,5029904,41772,432,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,1
1465.0,Pride and Prejudice,Jane Austen,4.3,4999797,508,7,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,15
198.0,Animal Farm,George Orwell,4.03,4795944,3042,37,https://www.goodreads.com/book/show/170448.Animal_Farm,2
