rank,book_name,author,rating_value,rating_count,meta_score_num,number_of_voted_num,book_url,page,Cluster
1.0,And Then There Were None,Agatha Christie,4.27,1706322,75541,765,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,1,2
2.0,Gone Girl,Gillian Flynn,4.15,3551945,74921,778,https://www.goodreads.com/book/show/19288043-gone-girl,1,2
3.0,A Story of Yesterday,Sergio Cobo,4.49,23950,72045,721,https://www.goodreads.com/book/show/58913358-a-story-of-yesterday,1,2
4.0,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,4225869,67402,682,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,1,2
5.0,Shutter Island,Dennis Lehane,4.14,239018,61833,645,https://www.goodreads.com/book/show/21686.Shutter_Island,1,2
6.0,My Sister's Keeper,Jodi Picoult,4.11,1291035,56739,573,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper,1,2
7.0,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.94,2581268,51348,527,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,1,2
8.0,"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.18,3523760,51206,541,https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo,1,2
9.0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,3768072,48259,494,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,1,2
10.0,Fight Club,Chuck Palahniuk,4.18,663290,43987,456,https://www.goodreads.com/book/show/36236124-fight-club,1,2
11.0,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,5029904,41772,432,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,1,2
12.0,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.36,10261354,38462,397,https://www.goodreads.com/book/show/2767052-the-hunger-games,1,2
13.0,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.2,767435,38264,397,https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express,1,2
14.0,The Elephant Tree,R.D. Ronald,3.92,45320,37230,396,https://www.goodreads.com/book/show/9293020-the-elephant-tree,1,2
15.0,The Girl on the Train,Paula Hawkins,3.96,3385202,36510,392,https://www.goodreads.com/book/show/22557272-the-girl-on-the-train,1,2
16.0,"Angels & Demons (Robert Langdon, #1)",Dan Brown,3.96,3457403,35871,371,https://www.goodreads.com/book/show/960.Angels_Demons,1,2
17.0,The Zombie Room,R.D. Ronald,3.95,45504,35665,380,https://www.goodreads.com/book/show/29908754-the-zombie-room,1,2
18.0,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,4.26,372461,34032,349,https://www.goodreads.com/book/show/16328.The_Murder_of_Roger_Ackroyd,1,2
19.0,Dark Places,Gillian Flynn,3.94,867061,33448,358,https://www.goodreads.com/book/show/5886881-dark-places,1,2
20.0,The Girl Who Played with Fire (Millennium #2),Stieg Larsson,4.26,1004548,33347,357,https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire,1,2
21.0,1984,George Orwell,4.21,5748684,32961,354,https://www.goodreads.com/book/show/61439040-1984,1,2
22.0,Pretty Girls,Karin Slaughter,4.0,791249,32220,341,https://www.goodreads.com/book/show/25574782-pretty-girls,1,2
23.0,Never Lie,Freida McFadden,4.08,1746248,30878,327,https://www.goodreads.com/book/show/62080187-never-lie,1,2
24.0,None of This Is True,Lisa Jewell,4.06,1208575,30275,321,https://www.goodreads.com/book/show/62334530-none-of-this-is-true,1,2
25.0,The Woman in the Window,A.J. Finn,3.93,914006,29966,322,https://www.goodreads.com/book/show/40389527-the-woman-in-the-window,1,2
26.0,The Only One Left,Riley Sager,4.12,728331,29890,317,https://www.goodreads.com/book/show/62703226-the-only-one-left,1,2
27.0,Before I Go to Sleep,S.J. Watson,3.9,375782,29884,318,https://www.goodreads.com/book/show/9736930-before-i-go-to-sleep,1,2
28.0,"Big Little Lies (Big Little Lies, #1)",Liane Moriarty,4.31,1148454,29536,319,https://www.goodreads.com/book/show/33516773-big-little-lies,1,2
29.0,Mystic River,Dennis Lehane,4.18,171909,29514,318,https://www.goodreads.com/book/show/21671.Mystic_River,1,2
30.0,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31,1502534,29161,300,https://www.goodreads.com/book/show/375802.Ender_s_Game,1,2
31.0,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.36,4324896,28804,304,https://www.goodreads.com/book/show/6148028-catching-fire,1,2
32.0,Behind Closed Doors,B.A. Paris,3.96,798681,28682,308,https://www.goodreads.com/book/show/29437949-behind-closed-doors,1,2
33.0,"Red Dragon (Hannibal Lecter, #1)",Thomas Harris,4.07,383790,28619,305,https://www.goodreads.com/book/show/28877.Red_Dragon,1,2
34.0,"You (You, #1)",Caroline Kepnes,3.96,300205,27614,294,https://www.goodreads.com/book/show/36430011-you,1,2
35.0,"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,3.95,604574,27288,293,https://www.goodreads.com/book/show/43822820-the-family-upstairs,1,2
36.0,Home Before Dark,Riley Sager,4.04,342780,27279,291,https://www.goodreads.com/book/show/50833559-home-before-dark,1,2
37.0,"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,4.15,1984375,27080,289,https://www.goodreads.com/book/show/62848145-the-housemaid-s-secret,1,2
38.0,Final Girls,Riley Sager,3.81,282747,27059,289,https://www.goodreads.com/book/show/32796253-final-girls,1,2
39.0,Lock Every Door,Riley Sager,3.88,328226,27024,288,https://www.goodreads.com/book/show/41837243-lock-every-door,1,2
40.0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,4338717,26805,284,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,1,2
41.0,Then She Was Gone,Lisa Jewell,4.03,1089333,26775,285,https://www.goodreads.com/book/show/35297426-then-she-was-gone,1,2
42.0,The Paris Apartment,Lucy Foley,3.64,759571,26718,284,https://www.goodreads.com/book/show/58468990-the-paris-apartment,1,2
43.0,"The Woman in Cabin 10 (Lo Blacklock, #1)",Ruth Ware,3.71,815688,26652,286,https://www.goodreads.com/book/show/28187230-the-woman-in-cabin-10,1,2
