rank,title,author,rating,ratings_count,score,votes,book_url,page
1,And Then There Were None,Agatha Christie,4.27,1706317.0,75541,765.0,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,1
2,Gone Girl,Gillian Flynn,4.15,3551943.0,74921,778.0,https://www.goodreads.com/book/show/19288043-gone-girl,1
3,A Story of Yesterday,Sergio Cobo,4.49,23950.0,72045,721.0,https://www.goodreads.com/book/show/58913358-a-story-of-yesterday,1
4,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,4225865.0,67402,682.0,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,1
5,Shutter Island,Dennis Lehane,4.14,239018.0,61833,645.0,https://www.goodreads.com/book/show/21686.Shutter_Island,1
6,My Sister's Keeper,Jodi Picoult,4.11,1291034.0,56739,573.0,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper,1
7,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.94,2581267.0,51348,527.0,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,1
8,"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.18,3523756.0,51206,541.0,https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo,1
9,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,3768072.0,48259,494.0,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,1
10,Fight Club,Chuck Palahniuk,4.18,663290.0,43987,456.0,https://www.goodreads.com/book/show/36236124-fight-club,1
11,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,5029899.0,41772,432.0,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,1
12,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.36,10261339.0,38462,397.0,https://www.goodreads.com/book/show/2767052-the-hunger-games,1
13,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.2,767433.0,38264,397.0,https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express,1
14,The Elephant Tree,R.D. Ronald,3.92,45320.0,37230,396.0,https://www.goodreads.com/book/show/9293020-the-elephant-tree,1
15,The Girl on the Train,Paula Hawkins,3.96,3385196.0,36510,392.0,https://www.goodreads.com/book/show/22557272-the-girl-on-the-train,1
16,"Angels & Demons (Robert Langdon, #1)",Dan Brown,3.96,3457399.0,35871,371.0,https://www.goodreads.com/book/show/960.Angels_Demons,1
17,The Zombie Room,R.D. Ronald,3.95,45504.0,35665,380.0,https://www.goodreads.com/book/show/29908754-the-zombie-room,1
18,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,4.26,372461.0,34032,349.0,https://www.goodreads.com/book/show/16328.The_Murder_of_Roger_Ackroyd,1
19,Dark Places,Gillian Flynn,3.94,867061.0,33448,358.0,https://www.goodreads.com/book/show/5886881-dark-places,1
20,The Girl Who Played with Fire (Millennium #2),Stieg Larsson,4.26,1004548.0,33347,357.0,https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire,1
21,1984,George Orwell,4.21,5748668.0,32961,354.0,https://www.goodreads.com/book/show/61439040-1984,1
22,Pretty Girls,Karin Slaughter,4.0,791244.0,32220,341.0,https://www.goodreads.com/book/show/25574782-pretty-girls,1
23,Never Lie,Freida McFadden,4.08,1746237.0,30878,327.0,https://www.goodreads.com/book/show/62080187-never-lie,1
24,None of This Is True,Lisa Jewell,4.06,1208567.0,30275,321.0,https://www.goodreads.com/book/show/62334530-none-of-this-is-true,1
25,The Woman in the Window,A.J. Finn,3.93,914002.0,29966,322.0,https://www.goodreads.com/book/show/40389527-the-woman-in-the-window,1
26,The Only One Left,Riley Sager,4.12,728322.0,29890,317.0,https://www.goodreads.com/book/show/62703226-the-only-one-left,1
27,Before I Go to Sleep,S.J. Watson,3.9,375779.0,29884,318.0,https://www.goodreads.com/book/show/9736930-before-i-go-to-sleep,1
